"","fixed_acidity","volatile_acidity","citric_acidity","ph","quality"
"1",7.4,0.7,0,3.51,5
"2",7.8,0.88,0,3.2,5
"3",7.8,0.76,0.04,3.26,5
"4",11.2,0.28,0.56,3.16,6
"5",7.4,0.7,0,3.51,5
"6",7.4,0.66,0,3.51,5
"7",7.9,0.6,0.06,3.3,5
"8",7.3,0.65,0,3.39,7
"9",7.8,0.58,0.02,3.36,7
"10",7.5,0.5,0.36,3.35,5
"11",6.7,0.58,0.08,3.28,5
"12",7.5,0.5,0.36,3.35,5
"13",5.6,0.615,0,3.58,5
"14",7.8,0.61,0.29,3.26,5
"15",8.9,0.62,0.18,3.16,5
"16",8.9,0.62,0.19,3.17,5
"17",8.5,0.28,0.56,3.3,7
"18",8.1,0.56,0.28,3.11,5
"19",7.4,0.59,0.08,3.38,4
"20",7.9,0.32,0.51,3.04,6
"21",8.9,0.22,0.48,3.39,6
"22",7.6,0.39,0.31,3.52,5
"23",7.9,0.43,0.21,3.17,5
"24",8.5,0.49,0.11,3.17,5
"25",6.9,0.4,0.14,3.43,6
"26",6.3,0.39,0.16,3.34,5
"27",7.6,0.41,0.24,3.28,5
"28",7.9,0.43,0.21,3.17,5
"29",7.1,0.71,0,3.47,5
"30",7.8,0.645,0,3.38,6
"31",6.7,0.675,0.07,3.35,5
"32",6.9,0.685,0,3.46,6
"33",8.3,0.655,0.12,3.17,5
"34",6.9,0.605,0.12,3.45,6
"35",5.2,0.32,0.25,3.38,5
"36",7.8,0.645,0,3.4,6
"37",7.8,0.6,0.14,3.42,6
"38",8.1,0.38,0.28,3.23,7
"39",5.7,1.13,0.09,3.5,4
"40",7.3,0.45,0.36,3.33,5
"41",7.3,0.45,0.36,3.33,5
"42",8.8,0.61,0.3,3.26,4
"43",7.5,0.49,0.2,3.21,6
"44",8.1,0.66,0.22,3.3,5
"45",6.8,0.67,0.02,3.48,5
"46",4.6,0.52,0.15,3.9,4
"47",7.7,0.935,0.43,3.25,5
"48",8.7,0.29,0.52,3.25,5
"49",6.4,0.4,0.23,3.34,5
"50",5.6,0.31,0.37,3.32,5
"51",8.8,0.66,0.26,3.15,5
"52",6.6,0.52,0.04,3.4,6
"53",6.6,0.5,0.04,3.39,6
"54",8.6,0.38,0.36,3.2,5
"55",7.6,0.51,0.15,3.17,6
"56",7.7,0.62,0.04,3.34,5
"57",10.2,0.42,0.57,3.04,5
"58",7.5,0.63,0.12,3.26,5
"59",7.8,0.59,0.18,3.43,5
"60",7.3,0.39,0.31,3.41,6
"61",8.8,0.4,0.4,3.44,5
"62",7.7,0.69,0.49,3.21,5
"63",7.5,0.52,0.16,3.38,7
"64",7,0.735,0.05,3.39,5
"65",7.2,0.725,0.05,3.41,5
"66",7.2,0.725,0.05,3.41,5
"67",7.5,0.52,0.11,3.42,5
"68",6.6,0.705,0.07,3.44,5
"69",9.3,0.32,0.57,3.28,5
"70",8,0.705,0.05,3.34,6
"71",7.7,0.63,0.08,3.32,6
"72",7.7,0.67,0.23,3.32,5
"73",7.7,0.69,0.22,3.31,5
"74",8.3,0.675,0.26,3.31,4
"75",9.7,0.32,0.54,3.28,5
"76",8.8,0.41,0.64,3.54,5
"77",8.8,0.41,0.64,3.54,5
"78",6.8,0.785,0,3.52,6
"79",6.7,0.75,0.12,3.38,5
"80",8.3,0.625,0.2,3.16,4
"81",6.2,0.45,0.2,3.41,5
"82",7.8,0.43,0.7,3.13,5
"83",7.4,0.5,0.47,3.36,5
"84",7.3,0.67,0.26,3.16,5
"85",6.3,0.3,0.48,3.44,6
"86",6.9,0.55,0.15,3.41,5
"87",8.6,0.49,0.28,2.93,6
"88",7.7,0.49,0.26,3.39,5
"89",9.3,0.39,0.44,3.14,5
"90",7,0.62,0.08,3.48,5
